Location,Neighborhood,BL,BFBL,SBL,SLM,PSL,CL,BSBL,SBLBL,Total,Segments,Exact?,notes,
Brighton Avenue,Allston,6,0,0,0,94,0,0,0,100,Brighton Avenue east of St. Lukes Road,Y,,
Harvard Avenue,Allston,65,0,0,0,0,35,0,0,100,Harvard Avenue north of Commonwealth Avenue,Y,,
North Harvard Street,Allston,81,0,0,0,0,19,0,0,100,North Harvard Street south of Soldiers Field Road,Y,,
Dorchester Avenue,Dorchester,35,2,0,61,0,2,0,0,100,"Dorchester Avenue north of Doris Street, Dorchester Avenue north of Dracut Street, Dorchester Avenue south of Greenwich Street",Y,,
Talbot Avenue,Dorchester,63,0,0,37,0,0,0,0,100,Talbot Avenue west of New England Avenue,Y,,
Congress Street,Downtown,0,0,56,44,0,0,0,0,100,Congress Street south of Milk Street,Y,,
Beacon Street,Fenway,65,10,20,5,0,0,0,0,100,"Beacon Street east of Mountfort Street, Beacon Street west of Raleigh Street","N, not continuous",need to calculate individual pieces,
Commonwealth Avenue,Fenway,68,0,27,0,0,0,5,0,100,"Commonwealth Avenue Eastbound west of Silber Way, Commonwealth Avenue Westbound west of Silber Way","N, unless we don't care about going into Back Bay and Allston",need to calculate individual pieces,
Columbus Avenue,South End,46,0,23,31,0,0,0,0,100,"Columbus Avenue west of Arlington Street, Columbus Avenue west of Holyoke Street, Columbus Avenue west of Massachusetts Avenue",Y,,
Massachusetts Avenue,South End,67,0,11,9,0,0,2,11,100,"Massachusetts Avenue south of Columbus Avenue, Massachusetts Avenue south of Newmarket Square, Massachusetts Avenue south of Shawmut Avenue",Y,,
Washington Street,South End,0,0,0,50,0,0,50,0,100,"Washington Street east of Beethoven Street, Washington Street north of Bexley Road, Washington Street south of Hayward Place, Washington Street south of Herald Street","N, not continuous, tried to estimate for South End",only use SLM and BSBL,
